x,y,date
263756.241475139,6620182.49837453,2021-05-05 02:17:28
263754.714544499,6620175.33704223,2021-05-05 02:19:35
263801.172532547,6620192.38457292,2021-05-05 02:21:36
263798.822611547,6620197.22301399,2021-05-05 02:23:36
263862.412165264,6620225.13503065,2021-05-05 02:25:36
263889.014542021,6620212.3979521,2021-05-05 02:27:36
263911.59224659,6620218.22794127,2021-05-05 02:29:42
263898.526941699,6620210.90302967,2021-05-05 02:31:42
263888.184257356,6620217.14021369,2021-05-05 02:33:42
263893.369808663,6620204.41790538,2021-05-05 02:35:42
263893.369808663,6620204.41790538,2021-05-05 02:37:43
263879.087069303,6620210.90431545,2021-05-05 02:39:43
263788.817387743,6620173.96065747,2021-05-05 02:41:44
263805.429046313,6620170.34139386,2021-05-05 02:43:44
263803.304194916,6620168.01929623,2021-05-05 02:45:45
263782.914394633,6620181.59213165,2021-05-05 02:51:48
263769.78512639,6620159.86742487,2021-05-05 02:53:52
263773.816947595,6620176.24977053,2021-05-05 02:57:49
263760.406339798,6620163.47576903,2021-05-05 02:59:53
263781.176516414,6620180.02718576,2021-05-05 03:01:57
263781.697234361,6620184.68399394,2021-05-05 03:04:02
263781.345254982,6620171.08363682,2021-05-05 03:06:07
263773.098777308,6620142.57362046,2021-05-05 03:08:15
263775.111410598,6620167.23498563,2021-05-05 03:10:23
263780.191503312,6620180.53615828,2021-05-05 03:12:31
263778.995483312,6620185.74824108,2021-05-05 03:14:39
263777.539012054,6620182.37891556,2021-05-05 03:16:47
263788.085564313,6620165.96738048,2021-05-05 03:19:42
263782.78055495,6620169.65288513,2021-05-05 03:30:28
263782.78055495,6620169.65288513,2021-05-05 03:32:36
263782.78055495,6620169.65288513,2021-05-05 03:34:38
263786.938478521,6620145.15937877,2021-05-05 03:36:46
263776.792868248,6620158.97734004,2021-05-05 03:38:54
263771.622193678,6620202.29398749,2021-05-05 03:41:05
263767.498819178,6620180.89269613,2021-05-05 03:47:14
263777.581290793,6620186.61935474,2021-05-05 03:49:22
263777.581290793,6620186.61935474,2021-05-05 03:51:30
